Stage 4 Pd-vs-SNR CA-CFAR Monte Carlo
Mode: full
Trials: 200
Echo SNR axis dB: -40, -38, -36, -34, -32, -30, -28, -26, -24, -22, -20, -18, -16, -14, -12, -10, -8, -6, -4, -2, 0
No RIS model: blocked NLOS baseline with zero target echo amplitude
SNR reference: optimized RIS noiseless beat-signal average sample power
full  | SNR  -40.0 dB |  86/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  87/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  88/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  89/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  90/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  91/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  92/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  93/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  94/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  95/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  96/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  97/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
full  | SNR  -40.0 dB |  98/200 | noise 1.610e-05 W | hits N/R/O 0/0/0 | avgPd 0.003/0.003/0.003
